Age,Grade,Gender,Year,Number,Sector
15,C2,MA,1987,23807,PUB
15,C3,FE,1987,11644,PUB
15,C3,MA,1987,15573,PUB
16,C1,FE,1987,10550,PUB
16,C1,MA,1987,17728,PUB
16,C2,FE,1987,16845,PUB
16,C2,MA,1987,26953,PUB
16,C3,FE,1987,17194,PUB
16,C3,MA,1987,25172,PUB
17,C1,FE,1987,3915,PUB
17,C1,MA,1987,6160,PUB
17,C2,FE,1987,13008,PUB
17,C2,MA,1987,21957,PUB
17,C3,FE,1987,20752,PUB
17,C3,MA,1987,31038,PUB
18,C1,FE,1987,732,PUB
18,C1,MA,1987,1339,PUB
18,C2,FE,1987,4928,PUB
18,C2,MA,1987,7351,PUB
18,C3,FE,1987,18261,PUB
18,C3,MA,1987,28645,PUB
19,C2,FE,1987,1010,PUB
19,C2,MA,1987,1504,PUB
19,C3,FE,1987,11299,PUB
19,C3,MA,1987,17339,PUB
20,C2,FE,1987,136,PUB
20,C2,MA,1987,339,PUB
20,C3,FE,1987,4578,PUB
20,C3,MA,1987,6064,PUB
21,C3,FE,1987,899,PUB
21,C3,MA,1987,1171,PUB
15,C1,FE,1988,21387,PUB
15,C1,MA,1988,33664,PUB
15,C2,FE,1988,21632,PUB
15,C2,MA,1988,30323,PUB
15,C3,FE,1988,13884,PUB
15,C3,MA,1988,17626,PUB
16,C1,FE,1988,7764,PUB
16,C1,MA,1988,13829,PUB
16,C2,FE,1988,17789,PUB
16,C2,MA,1988,28082,PUB
16,C3,FE,1988,19165,PUB
16,C3,MA,1988,26556,PUB
17,C1,FE,1988,2237,PUB
17,C1,MA,1988,3773,PUB
17,C2,FE,1988,10261,PUB
17,C2,MA,1988,17309,PUB
17,C3,FE,1988,23043,PUB
17,C3,MA,1988,33999,PUB
18,C1,FE,1988,528,PUB
18,C1,MA,1988,850,PUB
18,C2,FE,1988,4466,PUB
18,C2,MA,1988,7284,PUB
18,C3,FE,1988,19293,PUB
18,C3,MA,1988,30088,PUB
19,C2,FE,1988,1049,PUB
19,C2,MA,1988,1588,PUB
19,C3,FE,1988,11352,PUB
19,C3,MA,1988,17121,PUB
20,C2,FE,1988,138,PUB
20,C2,MA,1988,302,PUB
20,C3,FE,1988,4336,PUB
20,C3,MA,1988,6112,PUB
21,C3,FE,1988,663,PUB
21,C3,MA,1988,1195,PUB
15,C1,FE,1989,19894,PUB
15,C1,MA,1989,32031,PUB
15,C2,FE,1989,23953,PUB
15,C2,MA,1989,33259,PUB
15,C3,FE,1989,18787,PUB
15,C3,MA,1989,22940,PUB
16,C1,FE,1989,7492,PUB
16,C1,MA,1989,14112,PUB
16,C2,FE,1989,20119,PUB
16,C2,MA,1989,29826,PUB
16,C3,FE,1989,25430,PUB
16,C3,MA,1989,34166,PUB
17,C1,FE,1989,1511,PUB
17,C1,MA,1989,3099,PUB
17,C2,FE,1989,8860,PUB
17,C2,MA,1989,14222,PUB
17,C3,FE,1989,23758,PUB
17,C3,MA,1989,34534,PUB
18,C1,FE,1989,283,PUB
18,C1,MA,1989,570,PUB
18,C2,FE,1989,3005,PUB
18,C2,MA,1989,4875,PUB
18,C3,FE,1989,17593,PUB
18,C3,MA,1989,27490,PUB
19,C2,FE,1989,841,PUB
19,C2,MA,1989,1220,PUB
19,C3,FE,1989,10172,PUB
19,C3,MA,1989,16443,PUB
20,C2,FE,1989,147,PUB
20,C2,MA,1989,302,PUB
20,C3,FE,1989,3100,PUB
20,C3,MA,1989,5152,PUB
21,C3,FE,1989,385,PUB
21,C3,MA,1989,844,PUB
15,C1,FE,1990,17621,PUB
15,C1,MA,1990,30093,PUB
15,C2,FE,1990,24182,PUB
15,C2,MA,1990,35349,PUB
15,C3,FE,1990,23504,PUB
15,C3,MA,1990,28290,PUB
16,C1,FE,1990,6550,PUB
16,C1,MA,1990,13130,PUB
16,C2,FE,1990,17897,PUB
16,C2,MA,1990,28215,PUB
16,C3,FE,1990,30039,PUB
16,C3,MA,1990,38933,PUB
17,C1,FE,1990,1320,PUB
17,C1,MA,1990,2842,PUB
17,C2,FE,1990,8021,PUB
17,C2,MA,1990,13904,PUB
17,C3,FE,1990,27924,PUB
17,C3,MA,1990,40980,PUB
18,C1,FE,1990,180,PUB
18,C1,MA,1990,469,PUB
18,C2,FE,1990,1979,PUB
18,C2,MA,1990,3467,PUB
18,C3,FE,1990,17341,PUB
18,C3,MA,1990,25299,PUB
19,C2,FE,1990,415,PUB
19,C2,MA,1990,625,PUB
19,C3,FE,1990,8699,PUB
19,C3,MA,1990,13503,PUB
20,C2,FE,1990,33,PUB
20,C2,MA,1990,159,PUB
20,C3,FE,1990,3495,PUB
20,C3,MA,1990,5354,PUB
21,C3,FE,1990,381,PUB
21,C3,MA,1990,796,PUB
15,C1,FE,1991,15835,PUB
